command,subcommand,total,value_position,statement_position,repo_breadth,dominant_arity,dominant_arity_count,all_args_literal,some_args_substituted,in_registry
option,-highlightcolor,1,0,1,1,5,1,1,0,true
option,-highlightcommand,1,0,1,1,2,1,1,0,true
option,-highlights,1,0,1,1,2,1,0,1,true
option,-hilitleft,1,0,1,1,3,1,1,0,true
option,-hilitright,1,0,1,1,3,1,1,0,true
option,-historycombo,1,0,1,1,2,1,1,0,true
option,-home,1,0,1,1,5,1,1,0,true
option,-host,1,0,1,1,3,1,1,0,true
option,-icon,1,0,1,1,2,1,1,0,true
option,-ignore,1,0,1,1,2,1,1,0,true
option,-image,1,0,1,1,5,1,1,0,true
option,-image-on-load,1,0,1,1,3,1,1,0,true
option,-image-on-unset,1,0,1,1,3,1,1,0,true
option,-inactiveselectbackground inactiveSelectBackground Foreground,1,0,1,1,7,1,1,0,true
option,-initdir,1,0,1,1,2,1,1,0,true
option,-initial-geo,1,0,1,1,5,1,1,0,true
option,-initial-zoom,1,0,1,1,5,1,1,0,true
option,-interval,1,0,1,1,7,1,0,1,true
option,-labelcolor,1,0,1,1,3,1,1,0,true
option,-labelfont,1,0,1,1,3,1,1,0,true
option,-labelwidget,1,0,1,1,5,1,1,0,true
option,-layout,1,0,1,1,2,1,1,0,true
option,-levels,1,0,1,1,7,1,1,0,true
option,-linecolor,1,0,1,1,3,1,1,0,true
option,-linethickness,1,0,1,1,5,1,1,0,true
option,-locked,1,0,1,1,5,1,1,0,true
option,-log,1,0,1,1,5,1,1,0,true
option,-loglevel,1,0,1,1,5,1,1,0,true
option,-majorticks,1,0,1,1,5,1,1,0,true
option,-maxiteration,1,0,1,1,2,1,1,0,true
option,-maxundo maxUndo MaxUndo,1,0,1,1,5,1,1,0,true
option,-measure,1,0,1,1,7,1,0,1,true
option,-menu,1,0,1,1,5,1,1,0,true
option,-minorticks,1,0,1,1,5,1,1,0,true
option,-modal,1,0,1,1,5,1,1,0,true
option,-needlecolor,1,0,1,1,3,1,1,0,true
option,-newkey,1,0,1,1,2,1,1,0,true
option,-nocase,1,0,1,1,5,1,1,0,true
option,-off,1,0,1,1,2,1,1,0,true
option,-on,1,0,1,1,2,1,1,0,true
option,-on-box-change,1,0,1,1,3,1,1,0,true
option,-on-event,1,0,1,1,5,1,1,0,true
option,-on-status-change,1,0,1,1,2,1,1,0,true
option,-on-track-change,1,0,1,1,5,1,1,0,true
option,-on-view-change,1,0,1,1,3,1,1,0,true
option,-openkey,1,0,1,1,2,1,1,0,true
option,-ordered,1,0,1,1,7,1,1,0,true
option,-orientation,1,0,1,1,5,1,1,0,true
option,-outline,1,0,1,1,7,1,0,1,true
option,-parent,1,0,1,1,5,1,1,0,true
option,-pincolor,1,0,1,1,3,1,1,0,true
option,-place,1,0,1,1,5,1,1,0,true
option,-port,1,0,1,1,3,1,1,0,true
option,-prefilter,1,0,1,1,5,1,1,0,true
option,-provider,1,0,1,1,5,1,1,0,true
option,-quitkey,1,0,1,1,2,1,1,0,true
option,-reflect,1,0,1,1,5,1,1,0,true
option,-regexp,1,0,1,1,3,1,1,0,true
option,-resize,1,0,1,1,7,1,0,1,true
option,-resizeseparator,1,0,1,1,7,1,0,1,true
option,-resolution,1,0,1,1,3,1,1,0,true
option,-rows,1,0,1,1,2,1,1,0,true
option,-safecolor,1,0,1,1,3,1,1,0,true
option,-savekey,1,0,1,1,2,1,1,0,true
option,-scale,1,0,1,1,5,1,1,0,true
option,-scalecolor,1,0,1,1,3,1,1,0,true
option,-scope,1,0,1,1,3,1,1,0,true
option,-scrollbar,1,0,1,1,7,1,0,1,true
option,-scrollregion,1,0,1,1,5,1,1,0,true
option,-segments,1,0,1,1,7,1,1,0,true
option,-selectbackground selectBackground Foreground,1,0,1,1,7,1,1,0,true
option,-servicename,1,0,1,1,3,1,1,0,true
option,-setup,1,0,1,1,2,1,1,0,true
option,-shadecolor,1,0,1,1,5,1,1,0,true
option,-showgeometry,1,0,1,1,5,1,1,0,true
option,-showpast,1,0,1,1,7,1,1,0,true
option,-showvalue,1,0,1,1,3,1,1,0,true
option,-showvalues,1,0,1,1,7,1,0,1,true
option,-sides,1,0,1,1,7,1,0,1,true
option,-sizelimit,1,0,1,1,3,1,1,0,true
option,-sizes,1,0,1,1,7,1,0,1,true
option,-skin-browse,1,0,1,1,5,1,1,0,true
option,-skin-down,1,0,1,1,5,1,1,0,true
option,-skin-img-browse,1,0,1,1,5,1,1,0,true
option,-skin-img-down,1,0,1,1,5,1,1,0,true
option,-skin-img-up,1,0,1,1,5,1,1,0,true
option,-skin-tip-browse,1,0,1,1,5,1,1,0,true
option,-skin-tip-down,1,0,1,1,5,1,1,0,true
option,-skin-tip-up,1,0,1,1,5,1,1,0,true
option,-skin-up,1,0,1,1,5,1,1,0,true
option,-sliderthickness,1,0,1,1,7,1,1,0,true
option,-sliderwidth,1,0,1,1,7,1,1,0,true
option,-slow,1,0,1,1,3,1,1,0,true
option,-socketcmd,1,0,1,1,3,1,1,0,true
option,-sorttypes,1,0,1,1,2,1,0,1,true
option,-state,1,0,1,1,5,1,1,0,true
option,-step,1,0,1,1,3,1,1,0,true
option,-strict,1,0,1,1,5,1,1,0,true
option,-string,1,0,1,1,5,1,1,0,true
option,-style,1,0,1,1,5,1,1,0,true
option,-synchronous,1,0,1,1,3,1,1,0,true
option,-tablesupport,1,0,1,1,3,1,1,0,true
option,-text,1,0,1,1,5,1,1,0,true
option,-textvariable textVariable Variable,1,0,1,1,5,1,1,0,true
option,-timelimit,1,0,1,1,3,1,1,0,true
option,-timeout,1,0,1,1,3,1,1,0,true
option,-titlecolor,1,0,1,1,3,1,1,0,true
option,-titlefont,1,0,1,1,3,1,1,0,true
option,-tlsoptions,1,0,1,1,3,1,1,0,true
option,-to,1,0,1,1,5,1,1,0,true
option,-toolbar,1,0,1,1,3,1,1,0,true
option,-toolcommand,1,0,1,1,2,1,1,0,true
option,-topmost,1,0,1,1,5,1,1,0,true
option,-transform,1,0,1,1,5,1,1,0,true
option,-transient,1,0,1,1,5,1,1,0,true
option,-translation,1,0,1,1,3,1,1,0,true
option,-troughwidth,1,0,1,1,7,1,1,0,true
option,-undo undo Undo,1,0,1,1,7,1,1,0,true
option,-utf8,1,0,1,1,3,1,1,0,true
option,-value,1,0,1,1,5,1,1,0,true
option,-var,1,0,1,1,2,1,1,0,true
option,-verbose,1,0,1,1,3,1,1,0,true
option,-viewport-command,1,0,1,1,5,1,1,0,true
option,-vtype,1,0,1,1,2,1,1,0,true
option,-warningcolor,1,0,1,1,3,1,1,0,true
option,-warninglevel,1,0,1,1,3,1,1,0,true
option,-wrap,1,0,1,1,5,1,0,1,true
option,-x,1,0,1,1,2,1,1,0,true
option,-xright,1,0,1,1,2,1,1,0,true
option,-ybottom,1,0,1,1,2,1,1,0,true
option,-ytop,1,0,1,1,2,1,1,0,true
pack,.addr,1,0,1,1,5,1,1,0,true
pack,.b,1,0,1,1,1,1,1,0,true
pack,.b.c,1,0,1,1,1,1,1,0,true
pack,.b.l,1,0,1,1,1,1,1,0,true
pack,.base.addr,1,0,1,1,5,1,1,0,true
pack,.base.f.lDate,1,0,1,1,7,1,1,0,true
pack,.base.id,1,0,1,1,5,1,1,0,true
pack,.base.num,1,0,1,1,5,1,1,0,true
pack,.bf,1,0,1,1,5,1,1,0,true
pack,.bottom,1,0,1,1,4,1,1,0,true
pack,.but,1,0,1,1,9,1,1,0,true
pack,.but.f,1,0,1,1,9,1,1,0,true
pack,.but.f.f1,1,0,1,1,11,1,1,0,true
pack,.but.f.f1.close,1,0,1,1,7,1,1,0,true
pack,.but.f.f1.save,1,0,1,1,7,1,1,0,true
pack,.but.f.f1.start,1,0,1,1,7,1,1,0,true
pack,.but.f.f1.stop,1,0,1,1,7,1,1,0,true
pack,.c1,1,0,1,1,7,1,1,0,true
pack,.c2,1,0,1,1,9,1,1,0,true
pack,.consoleframe,1,0,1,1,7,1,1,0,true
pack,.count,1,0,1,1,5,1,1,0,true
pack,.count.left,1,0,1,1,4,1,1,0,true
pack,.cp.grd,1,0,1,1,5,1,1,0,true
pack,.cp.tog,1,0,1,1,9,1,1,0,true
pack,.cp.tog.off,1,0,1,1,7,1,1,0,true
pack,.cp.ttl,1,0,1,1,9,1,1,0,true
pack,.d,1,0,1,1,8,1,1,0,true
pack,.desc,1,0,1,1,1,1,1,0,true
pack,.dipole.c,1,0,1,1,5,1,1,0,true
pack,.em.fr,1,0,1,1,5,1,1,0,true
pack,.f.b,1,0,1,1,5,1,1,0,true
pack,.f.e1,1,0,1,1,7,1,1,0,true
pack,.f.e2,1,0,1,1,7,1,1,0,true
pack,.f.l1,1,0,1,1,5,1,1,0,true
pack,.f.l2,1,0,1,1,5,1,1,0,true
pack,.f.lDate,1,0,1,1,7,1,1,0,true
pack,.f.x,1,0,1,1,5,1,1,0,true
pack,.f2,1,0,1,1,5,1,1,0,true
pack,.f3,1,0,1,1,5,1,1,0,true
pack,.fcontrol,1,0,1,1,3,1,1,0,true
pack,.fcontrol.cancel,1,0,1,1,5,1,1,0,true
pack,.fcontrol.finst,1,0,1,1,5,1,1,0,true
pack,.focus.e,1,0,1,1,1,1,1,0,true
pack,.functions,1,0,1,1,1,1,1,0,true
pack,.h,1,0,1,1,5,1,1,0,true
pack,.h3.c,1,0,1,1,3,1,1,0,true
pack,.help.bouton,1,0,1,1,3,1,1,0,true
pack,.help.licence,1,0,1,1,3,1,1,0,true
pack,.help2,1,0,1,1,7,1,1,0,true
pack,.id,1,0,1,1,5,1,1,0,true
pack,.installPath,1,0,1,1,3,1,1,0,true
pack,.lab,1,0,1,1,7,1,1,0,true
pack,.lab1,1,0,1,1,5,1,1,0,true
pack,.lipath,1,0,1,1,3,1,1,0,true
pack,.listauto,1,0,1,1,5,1,1,0,true
pack,.logbuttons,1,0,1,1,1,1,1,0,true
pack,.mon,1,0,1,1,3,1,1,0,true
pack,.msg,1,0,1,1,9,1,1,0,true
pack,.msg.f,1,0,1,1,9,1,1,0,true
pack,.msg.f.f1,1,0,1,1,11,1,1,0,true
pack,.msg.f.f1.l,1,0,1,1,11,1,1,0,true
pack,.msg.f.f1.minus,1,0,1,1,9,1,1,0,true
pack,.msg.f.f1.plus,1,0,1,1,11,1,1,0,true
pack,.msg.f.f2,1,0,1,1,9,1,1,0,true
pack,.msg.f.f2.label,1,0,1,1,9,1,1,0,true
pack,.msg.f.f2.text,1,0,1,1,9,1,1,0,true
pack,.msg.f.f2.xscroll,1,0,1,1,7,1,1,0,true
pack,.msg.f.f2.yscroll,1,0,1,1,7,1,1,0,true
pack,.msgauto,1,0,1,1,3,1,1,0,true
pack,.n,1,0,1,1,11,1,1,0,true
pack,.num,1,0,1,1,5,1,1,0,true
pack,.op,1,0,1,1,7,1,1,0,true
pack,.op.f,1,0,1,1,7,1,1,0,true
pack,.op.f.f1,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.directory,1,0,1,1,9,1,1,0,true
pack,.op.f.f1.directory.e,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.directory.l,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.l,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.password,1,0,1,1,9,1,1,0,true
pack,.op.f.f1.password.e,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.password.l,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.port,1,0,1,1,9,1,1,0,true
pack,.op.f.f1.port.e,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.port.l,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.server,1,0,1,1,9,1,1,0,true
pack,.op.f.f1.server.e,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.server.l,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.username,1,0,1,1,9,1,1,0,true
pack,.op.f.f1.username.e,1,0,1,1,7,1,1,0,true
pack,.op.f.f1.username.l,1,0,1,1,7,1,1,0,true
pack,.op.f.f2,1,0,1,1,9,1,1,0,true
pack,.op.f.f2.active,1,0,1,1,9,1,1,0,true
pack,.op.f.f2.debug,1,0,1,1,9,1,1,0,true
pack,.op.f.f2.l1,1,0,1,1,7,1,1,0,true
pack,.op.f.f2.l2,1,0,1,1,7,1,1,0,true
pack,.op.f.f2.loops,1,0,1,1,9,1,1,0,true
pack,.op.f.f2.loops.e,1,0,1,1,7,1,1,0,true
pack,.op.f.f2.loops.l,1,0,1,1,7,1,1,0,true
pack,.op.f.f2.passive,1,0,1,1,9,1,1,0,true
pack,.op.f.f2.verbose,1,0,1,1,9,1,1,0,true
pack,.op.f.f3,1,0,1,1,11,1,1,0,true
pack,.op.f.f3.l1,1,0,1,1,7,1,1,0,true
pack,.op.f.f3.v0,1,0,1,1,11,1,1,0,true
pack,.op.f.f3.v0.name,1,0,1,1,7,1,1,0,true
pack,.op.f.f3.v0.value,1,0,1,1,7,1,1,0,true
pack,.op.f.f3.v1,1,0,1,1,11,1,1,0,true
pack,.op.f.f3.v1.name,1,0,1,1,7,1,1,0,true
pack,.op.f.f3.v1.value,1,0,1,1,7,1,1,0,true
pack,.op.f.f3.v2,1,0,1,1,11,1,1,0,true
pack,.op.f.f3.v2.name,1,0,1,1,7,1,1,0,true
pack,.op.f.f3.v2.value,1,0,1,1,7,1,1,0,true
pack,.op.f.f3.v4,1,0,1,1,11,1,1,0,true
pack,.op.f.f3.v4.name,1,0,1,1,7,1,1,0,true
pack,.op.f.f3.v4.value,1,0,1,1,9,1,1,0,true
pack,.op.f.sep1,1,0,1,1,11,1,1,0,true
pack,.op.f.sep1.f,1,0,1,1,7,1,1,0,true
pack,.op.f.sep2,1,0,1,1,11,1,1,0,true
pack,.op.f.sep2.f,1,0,1,1,7,1,1,0,true
pack,.ord,1,0,1,1,7,1,1,0,true
pack,.pack.bottom,1,0,1,1,3,1,1,0,true
pack,.pack.c,1,0,1,1,3,1,1,0,true
pack,.pack.right,1,0,1,1,3,1,1,0,true
pack,.rchart.c,1,0,1,1,5,1,1,0,true
pack,.sb,1,0,1,1,11,1,1,0,true
pack,.send,1,0,1,1,5,1,1,0,true
pack,.sl,1,0,1,1,11,1,1,0,true
pack,.stack,1,0,1,1,1,1,1,0,true
pack,.status,1,0,1,1,7,1,1,0,true
pack,.status.head,1,0,1,1,7,1,1,0,true
pack,.status.head.label,1,0,1,1,13,1,1,0,true
pack,.t.default,1,0,1,1,8,1,1,0,true
pack,.t.f.c,1,0,1,1,1,1,1,0,true
pack,.t.file,1,0,1,1,11,1,1,0,true
pack,.t.h,1,0,1,1,5,1,1,0,true
pack,.t.justify-left,1,0,1,1,7,1,1,0,true
pack,.t.levels,1,0,1,1,3,1,1,0,true
pack,.t.mid,1,0,1,1,11,1,1,0,true
pack,.t.stipple,1,0,1,1,9,1,1,0,true
pack,.t.t,1,0,1,1,5,1,1,0,true
pack,.t.top.l,1,0,1,1,8,1,1,0,true
pack,.t.top.rect,1,0,1,1,14,1,1,0,true
pack,.t.v,1,0,1,1,5,1,1,0,true
pack,.t.visuals,1,0,1,1,3,1,1,0,true
pack,.t2.c,1,0,1,1,4,1,1,0,true
pack,.t2.f,1,0,1,1,3,1,1,0,true
pack,.t2.m,1,0,1,1,5,1,1,0,true
pack,.t2.quit,1,0,1,1,9,1,1,0,true
pack,.test,1,0,1,1,1,1,1,0,true
pack,.tf,1,0,1,1,5,1,1,0,true
pack,.title,1,0,1,1,3,1,1,0,true
pack,.top.t,1,0,1,1,1,1,1,0,true
pack,.v,1,0,1,1,5,1,1,0,true
pack,.view,1,0,1,1,9,1,1,0,true
pack,.view.conn,1,0,1,1,9,1,1,0,true
pack,.view.conn.check,1,0,1,1,5,1,1,0,true
pack,.view.conn.lab1,1,0,1,1,9,1,1,0,true
pack,.view.conn.led1,1,0,1,1,9,1,1,0,true
pack,.view.dummy,1,0,1,1,11,1,1,0,true
pack,.view.line,1,0,1,1,11,1,1,0,true
pack,.view.local,1,0,1,1,11,1,1,0,true
pack,.view.local.buttons,1,0,1,1,7,1,1,0,true
pack,.view.local.buttons.transfer,1,0,1,1,7,1,1,0,true
pack,.view.local.list,1,0,1,1,9,1,1,0,true
pack,.view.local.status,1,0,1,1,7,1,1,0,true
pack,.view.local.status.label,1,0,1,1,5,1,1,0,true
pack,.view.local.status.mark,1,0,1,1,5,1,1,0,true
pack,.view.local.status.use,1,0,1,1,5,1,1,0,true
pack,.view.local.xscroll,1,0,1,1,7,1,1,0,true
pack,.view.local.yscroll,1,0,1,1,7,1,1,0,true
pack,.view.remote,1,0,1,1,11,1,1,0,true
pack,.view.remote.buttons,1,0,1,1,7,1,1,0,true
pack,.view.remote.buttons.delete,1,0,1,1,7,1,1,0,true
pack,.view.remote.list,1,0,1,1,9,1,1,0,true
pack,.view.remote.status,1,0,1,1,7,1,1,0,true
pack,.view.remote.status.label,1,0,1,1,5,1,1,0,true
pack,.view.remote.status.mark,1,0,1,1,5,1,1,0,true
pack,.view.remote.status.use,1,0,1,1,5,1,1,0,true
pack,.view.remote.xscroll,1,0,1,1,7,1,1,0,true
pack,.view.remote.yscroll,1,0,1,1,7,1,1,0,true
pack,content,1,1,0,1,2,1,0,1,true
pack,info,1,1,0,1,2,1,0,1,true
pack,slaves,1,1,0,1,2,1,0,1,true
package,vcompare,1,1,0,1,3,1,0,1,true
package,version,1,1,0,1,2,1,0,1,true
panedwindow,.p,1,0,1,1,1,1,1,0,true
place,.raise.a,1,0,1,1,9,1,1,0,true
place,.raise.b,1,0,1,1,9,1,1,0,true
place,.raise.c,1,0,1,1,9,1,1,0,true
place,.raise.d,1,0,1,1,9,1,1,0,true
place,.raise.e,1,0,1,1,9,1,1,0,true
place,.t.anchor-center,1,0,1,1,11,1,1,0,true
place,.t.anchor-e,1,0,1,1,11,1,1,0,true
place,.t.anchor-n,1,0,1,1,11,1,1,0,true
place,.t.anchor-ne,1,0,1,1,11,1,1,0,true
place,.t.anchor-nw,1,0,1,1,11,1,1,0,true
place,.t.anchor-s,1,0,1,1,11,1,1,0,true
place,.t.anchor-se,1,0,1,1,11,1,1,0,true
place,.t.anchor-sw,1,0,1,1,11,1,1,0,true
place,.t.anchor-w,1,0,1,1,11,1,1,0,true
place,.t.f,1,0,1,1,5,1,1,0,true
place,.t.f.f,1,0,1,1,7,1,1,0,true
place,.z,1,0,1,1,9,1,1,0,true
place,content,1,1,0,1,2,1,0,1,true
platform::identify,,1,1,0,1,0,1,1,0,true
platform::patterns,,1,1,0,1,1,1,0,1,true
report::report,,1,1,0,1,4,1,0,1,true
struct::list,iota,1,1,0,1,2,1,0,1,true
struct::list,reverse,1,1,0,1,2,1,0,1,true
struct::queue,,1,1,0,1,1,1,1,0,true
struct::set,symdiff,1,1,0,1,3,1,0,1,true
tar::create,,1,0,1,1,2,1,1,0,true
tcl::chan::variable,,1,1,0,1,1,1,1,0,true
tclPkgSetup,,1,0,1,1,4,1,0,1,true
tclPkgUnknown,,1,0,1,1,2,1,1,0,true
tcl_endOfWord,,1,1,0,1,2,1,0,1,true
tcl_startOfNextWord,,1,1,0,1,2,1,0,1,true
tcl_startOfPreviousWord,,1,1,0,1,2,1,0,1,true
tcl_wordBreakAfter,,1,1,0,1,2,1,0,1,true
tcl_wordBreakBefore,,1,1,0,1,2,1,0,1,true
tcltest::loadTestedCommands,,1,0,1,1,0,1,1,0,true
tcltest::runAllTests,,1,0,1,1,0,1,1,0,true
tcltest::verbose,,1,0,1,1,1,1,1,0,true
text,,1,0,1,1,0,1,1,0,true
text,.__ctextTemp,1,1,0,1,1,1,1,0,true
text,.code,1,0,1,1,5,1,1,0,true
text,.console,1,1,0,1,11,1,0,1,true
text,.dlg.txt,1,0,1,1,3,1,1,0,true
text,.help.licence.t,1,0,1,1,3,1,1,0,true
text,.left,1,1,0,1,1,1,1,0,true
text,.log,1,1,0,1,11,1,1,0,true
text,.log.text,1,0,1,1,5,1,0,1,true
text,.mod.right.about,1,0,1,1,13,1,1,0,true
text,.mod.right.details,1,0,1,1,13,1,1,0,true
text,.msg.f.f2.text,1,0,1,1,21,1,1,0,true
text,.right,1,1,0,1,1,1,1,0,true
text,.rightside.code,1,1,0,1,17,1,1,0,true
text,.t.t,1,0,1,1,19,1,1,0,true
text,.test,1,0,1,1,9,1,1,0,true
text,.top.t,1,0,1,1,5,1,1,0,true
textutil::adjust::undent,,1,0,1,1,1,1,0,1,true
textutil::blank,,1,1,0,1,1,1,0,1,true
textutil::string::uncap,,1,0,1,1,1,1,0,1,true
textutil::undent,,1,1,0,1,1,1,0,1,true
tk,sysnotify,1,0,1,1,3,1,1,0,true
trace,,1,0,1,1,1,1,1,0,true
trace,Search Response Continue,1,0,1,1,1,1,1,0,true
trace,Search Response Done,1,0,1,1,1,1,1,0,true
trace,Search Result Reference,1,0,1,1,1,1,1,0,true
trace,vinfo,1,1,0,1,2,1,0,1,true
ttk::notebook,.n,1,0,1,1,1,1,1,0,true
ttk::sizegrip,,1,1,0,1,1,1,0,1,true
ttk::treeview,.fp,1,1,0,1,1,1,1,0,true
ttk::treeview,.tv3,1,1,0,1,5,1,0,1,true
uevent::bind,,1,0,1,1,3,1,1,0,true
winfo,visual,1,1,0,1,2,1,1,0,true
wm,attribute,1,0,1,1,4,1,0,1,true
wm,forget,1,0,1,1,2,1,0,1,true
wm,grid,1,1,0,1,2,1,0,1,true
wm,iconify,1,0,1,1,2,1,0,1,true
wm,maxsize,1,0,1,1,4,1,0,1,true
wm,stackorder,1,1,0,1,2,1,0,1,true
wm,state,1,0,1,1,3,1,0,1,true
yaml::yaml2dict,,1,1,0,1,1,1,0,1,true
zipfile::decode::unzip,,1,0,1,1,2,1,0,1,true
zlib,crc32,1,1,0,1,3,1,0,1,true
zlib,decompress,1,1,0,1,2,1,0,1,true
